"year","precip","MAT","RH"
1995,852.264889048218,22.1944737360189,67.5792233746922
1996,971.324792788998,26.4155672134802,75.5397362375393
1997,983.372899760303,19.0401701855266,68.3415445967648
1998,923.264210459829,19.6754199382777,95.6068421688106
1999,995.296513547538,20.0383507069942,74.971723888261
2000,993.573390839684,21.4444185250682,74.2845151137718
2001,1001.42965445649,22.2320938436789,65.8524557689648
2002,717.50515446004,19.5992795383378,88.5690775369976
2003,1002.68030242321,19.9700625831702,83.0030772821968
2004,1074.54377505639,15.9437554347982,81.6578278412042
2005,1076.45887106375,19.9175585911179,66.4122840126331
2006,969.276830643088,20.0347583016685,71.1259592535009
2007,973.358106687832,19.7981189097578,79.3050091933954
2008,781.95890371282,20.1585331604657,66.1193315980536
2009,1063.07791885611,18.2922918158262,84.9311914825957
